capture,requestType,model,live,inputTokens,outputTokens,totalTokens,cachedTokens,latencyMs,requestChars,estimatedInputTokens,canonicalTruthChars,currentTruthObjects,historyCount,projectBlockChars,captureContextChars,captureContextHistoryChars
58,capture_extract,gpt-4o-mini-2024-07-18,true,1360,323,1683,0,2783,5122,1324,1207,18,22,1207,9667,1847
59,capture_extract,gpt-4o-mini-2024-07-18,true,1365,128,1493,0,1525,5148,1329,1207,18,23,1207,9366,1582
60,capture_extract,gpt-4o-mini-2024-07-18,true,1367,160,1527,0,1716,5155,1331,1207,18,23,1207,9682,1870
61,capture_extract,gpt-4o-mini-2024-07-18,true,1364,176,1540,0,1899,5143,1329,1207,18,23,1207,9856,2043
62,capture_extract,gpt-4o-mini-2024-07-18,true,1365,449,1814,0,4024,5153,1330,1207,18,24,1207,9579,1783
63,capture_extract,gpt-4o-mini-2024-07-18,true,1373,303,1676,0,3184,5162,1337,1207,18,24,1207,9412,1611
64,capture_extract,gpt-4o-mini-2024-07-18,true,1384,302,1686,0,2656,5210,1348,1207,18,25,1207,9588,1782
65,capture_extract,gpt-4o-mini-2024-07-18,true,1375,369,1744,0,3583,5183,1339,1207,18,25,1207,9686,1875
66,capture_extract,gpt-4o-mini-2024-07-18,true,1373,471,1844,0,4056,5174,1337,1207,18,25,1207,9519,1704
67,capture_extract,gpt-4o-mini-2024-07-18,true,1366,190,1556,0,2038,5137,1330,1207,18,25,1207,9443,1632
68,capture_extract,gpt-4o-mini-2024-07-18,true,1380,392,1772,0,3411,5213,1345,1207,19,26,1207,10358,2074
69,capture_extract,gpt-4o-mini-2024-07-18,true,1380,341,1721,0,4309,5210,1346,1207,20,27,1207,10416,1867
70,capture_extract,gpt-4o-mini-2024-07-18,true,1366,283,1649,0,2515,5135,1330,1207,20,29,1207,10362,1783
71,capture_extract,gpt-4o-mini-2024-07-18,true,1379,259,1638,0,2652,5197,1343,1207,20,29,1207,10617,2051
72,capture_extract,gpt-4o-mini-2024-07-18,true,1373,261,1634,0,1906,5174,1339,1207,20,30,1207,10497,1921
73,capture_extract,gpt-4o-mini-2024-07-18,true,1371,285,1656,0,2441,5161,1337,1207,20,30,1207,10668,2090
74,capture_extract,gpt-4o-mini-2024-07-18,true,1371,347,1718,0,2858,5188,1337,1207,20,30,1207,10662,2089
75,capture_extract,gpt-4o-mini-2024-07-18,true,1377,251,1628,0,2384,5214,1343,1207,20,30,1207,10745,2157
75,ask,gpt-4o-mini-2024-07-18,true,1417,56,1473,,730,2439,937,2439,21,31,0,2439,0
75,ask,gpt-4o-mini-2024-07-18,true,1418,84,1502,,912,2438,938,2438,21,31,0,2438,0
75,ask,gpt-4o-mini-2024-07-18,true,1415,97,1512,,998,2422,935,2422,21,31,0,2422,0
75,ask,gpt-4o-mini-2024-07-18,true,1417,123,1540,,1077,2440,937,2440,21,31,0,2440,0
75,ask,gpt-4o-mini-2024-07-18,true,1951,143,2094,,1208,3861,1474,3861,21,31,0,3861,0
75,analyse_probe,gpt-4o-mini-2024-07-18,true,1367,188,1555,,1936,5157,1331,1207,21,31,1207,5157,0
75,analyse_probe,gpt-4o-mini-2024-07-18,true,1373,183,1556,,1805,5165,1337,1207,21,31,1207,5165,0
75,analyse_probe,gpt-4o-mini-2024-07-18,true,1373,178,1551,,1524,5192,1337,1207,21,31,1207,5192,0
76,capture_extract,gpt-4o-mini-2024-07-18,true,1370,323,1693,0,2886,5169,1335,1207,21,31,1207,11023,2180
77,capture_extract,gpt-4o-mini-2024-07-18,true,1363,177,1540,0,1761,5124,1327,1207,21,31,1207,10834,1991
78,capture_extract,gpt-4o-mini-2024-07-18,true,1382,355,1737,0,3062,5202,1350,1207,21,31,1207,10909,2059
79,capture_extract,gpt-4o-mini-2024-07-18,true,1372,159,1531,0,1656,5190,1336,1207,21,31,1207,10863,2044
80,capture_extract,gpt-4o-mini-2024-07-18,true,1380,434,1814,0,3406,5226,1347,1207,21,31,1207,1901,34
81,capture_extract,gpt-4o-mini-2024-07-18,true,1367,386,1753,0,3307,5160,1332,1207,21,31,1207,10597,1794
82,capture_extract,gpt-4o-mini-2024-07-18,true,1377,278,1655,0,3005,5178,1342,1207,21,32,1207,10887,2066
83,capture_extract,gpt-4o-mini-2024-07-18,true,1366,313,1679,0,3001,5155,1331,1207,21,33,1207,10738,1931
84,capture_extract,gpt-4o-mini-2024-07-18,true,1396,610,2006,0,5055,5281,1361,1207,20,34,1207,10898,2049
85,capture_extract,gpt-4o-mini-2024-07-18,true,1368,242,1610,0,2505,5161,1332,1207,21,35,1207,11031,1767
86,capture_extract,gpt-4o-mini-2024-07-18,true,1402,167,1569,0,1857,5243,1366,1285,22,36,1285,11130,1742
87,capture_extract,gpt-4o-mini-2024-07-18,true,1411,241,1652,0,2525,5264,1375,1285,22,36,1285,11373,1943
88,capture_extract,gpt-4o-mini-2024-07-18,true,1404,445,1849,0,3595,5237,1368,1285,22,36,1285,11332,1932
89,capture_extract,gpt-4o-mini-2024-07-18,true,1397,288,1685,0,2931,5207,1361,1285,22,36,1285,11444,2001
90,capture_extract,gpt-4o-mini-2024-07-18,true,1411,386,1797,0,3515,5262,1377,1285,22,36,1285,11313,1904
91,capture_extract,gpt-4o-mini-2024-07-18,true,1405,343,1748,0,2964,5252,1370,1285,23,37,1285,11875,1945
92,capture_extract,gpt-4o-mini-2024-07-18,true,1400,324,1724,0,2910,5226,1366,1285,23,37,1285,11657,1726
93,capture_extract,gpt-4o-mini-2024-07-18,true,1403,503,1906,0,5047,5257,1367,1285,23,37,1285,11531,1622
94,capture_extract,gpt-4o-mini-2024-07-18,true,1449,439,1888,0,4401,5376,1413,1420,24,38,1420,12215,2040
95,capture_extract,gpt-4o-mini-2024-07-18,true,1535,1112,2647,0,9717,5720,1501,1420,24,38,1420,12189,2040
96,capture_extract,gpt-4o-mini-2024-07-18,true,1488,792,2280,0,6782,5556,1452,1420,24,38,1420,11851,1717
97,capture_extract,gpt-4o-mini-2024-07-18,true,1488,553,2041,0,4544,5470,1450,1503,25,39,1503,12346,2013
98,capture_extract,gpt-4o-mini-2024-07-18,true,1492,353,1845,1024,2777,5502,1454,1503,25,39,1503,12285,1966
99,capture_extract,gpt-4o-mini-2024-07-18,true,1496,229,1725,1024,2816,5499,1459,1503,25,39,1503,11951,1648
100,capture_extract,gpt-4o-mini-2024-07-18,true,1524,752,2276,1024,5882,5637,1488,1503,25,39,1503,12289,1983
100,ask,gpt-4o-mini-2024-07-18,true,1596,90,1686,,978,2861,1115,2861,25,39,0,2861,0
100,ask,gpt-4o-mini-2024-07-18,true,1597,96,1693,,1015,2860,1116,2860,25,39,0,2860,0
100,ask,gpt-4o-mini-2024-07-18,true,1594,56,1650,,768,2844,1113,2844,25,39,0,2844,0
100,ask,gpt-4o-mini-2024-07-18,true,1596,209,1805,,1611,2862,1115,2862,25,39,0,2862,0
100,ask,gpt-4o-mini-2024-07-18,true,2169,254,2423,,2224,4366,1691,4366,25,39,0,4366,0
100,analyse_probe,gpt-4o-mini-2024-07-18,true,1484,187,1671,,1944,5453,1446,1503,25,39,1503,5453,0
100,analyse_probe,gpt-4o-mini-2024-07-18,true,1490,183,1673,,1707,5461,1452,1503,25,39,1503,5461,0
100,analyse_probe,gpt-4o-mini-2024-07-18,true,1490,178,1668,,1724,5488,1452,1503,25,39,1503,5488,0
